day,orders,gross_sales,discounts,returns,net_sales,shipping,duties,additional_fees,taxes,total_sales
2023-11-29,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-11-30,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-13,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-14,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-15,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-16,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-17,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-18,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-19,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-20,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-21,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-22,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-23,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-24,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-25,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-26,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-27,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-28,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-29,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-30,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-12-31,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-13,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-14,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-15,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-16,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-17,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-18,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-19,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-20,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-21,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-22,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-23,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-24,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-25,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-26,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-27,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-28,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-29,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-30,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-31,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-13,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-14,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-15,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-16,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-17,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-18,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-19,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-20,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-21,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-22,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-23,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-24,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-25,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-26,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-27,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-28,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-02-29,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-13,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-14,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-15,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-16,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-17,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-18,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-19,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-20,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-21,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-22,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-23,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-24,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-25,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-26,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-27,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-28,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-29,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-30,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-03-31,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-01,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-03,1,19.950,0.000,0.000,19.950,0.000,0.000,0.000,0.000,19.950
2024-04-04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-06,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-07,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-08,2,39.900,-19.950,0.000,19.950,0.000,0.000,0.000,0.000,19.950
2024-04-09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-10,1,19.950,-19.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-13,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-14,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-15,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-16,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-17,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-18,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-19,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-20,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-21,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-22,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-23,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-24,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-25,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-26,3,95.850,-37.950,-19.950,37.950,0.000,0.000,0.000,0.000,37.950
2024-04-27,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-28,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-29,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-04-30,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-01,1,19.950,0.000,-21.400,-1.450,0.000,0.000,0.000,1.450,0.000
2024-05-02,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-03,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-04,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-05,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-06,2,119.900,0.000,-119.900,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-07,3,77.850,0.000,0.000,77.850,0.000,0.000,0.000,1.450,79.300
2024-05-08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-09,0,0.000,0.000,-21.400,-21.400,0.000,0.000,0.000,0.000,-21.400
2024-05-10,1,19.950,-9.970,0.000,9.980,0.000,0.000,0.000,0.000,9.980
2024-05-11,2,39.900,-19.940,0.000,19.960,0.000,0.000,0.000,0.000,19.960
2024-05-12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-13,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-14,2,74.900,-37.440,0.000,37.460,0.000,0.000,0.000,0.000,37.460
2024-05-15,1,19.950,-9.970,0.000,9.980,0.000,0.000,0.000,0.000,9.980
2024-05-16,1,37.950,0.000,0.000,37.950,0.000,0.000,0.000,0.000,37.950
2024-05-17,1,99.950,-49.970,0.000,49.980,0.000,0.000,0.000,0.000,49.980
2024-05-18,3,59.850,-9.970,0.000,49.880,0.000,0.000,0.000,0.000,49.880
2024-05-19,1,37.950,-18.970,0.000,18.980,0.000,0.000,0.000,0.000,18.980
2024-05-20,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-21,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-22,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-23,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-24,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-25,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-26,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-05-27,1,19.950,-9.970,0.000,9.980,0.000,0.000,0.000,0.720,10.700
2024-05-28,3,77.850,-28.940,0.000,48.910,0.000,0.000,0.000,0.000,48.910
2024-05-29,1,19.950,0.000,0.000,19.950,0.000,0.000,0.000,1.450,21.400
2024-05-30,4,114.800,-47.410,-59.350,8.040,0.000,0.000,0.000,0.000,8.040
2024-05-31,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-06-01,1,37.950,0.000,0.000,37.950,0.000,0.000,0.000,0.000,37.950
2024-06-02,3,79.800,-9.970,0.000,69.830,0.000,0.000,0.000,0.000,69.830
2024-06-03,2,92.900,-46.440,0.000,46.460,0.000,0.000,0.000,0.000,46.460
2024-06-04,4,79.800,-39.880,0.000,39.920,0.000,0.000,0.000,0.000,39.920
2024-06-05,5,137.700,-48.880,0.000,88.820,0.000,0.000,0.000,0.000,88.820
2024-06-06,9,270.500,-125.230,0.000,145.270,0.000,0.000,0.000,0.000,145.270
2024-06-07,3,59.850,-9.970,0.000,49.880,0.000,0.000,0.000,0.000,49.880
2024-06-08,5,135.750,-48.880,0.000,86.870,0.000,0.000,0.000,0.000,86.870
2024-06-09,4,79.800,-19.940,0.000,59.860,0.000,0.000,0.000,0.000,59.860
2024-06-10,3,97.800,-18.970,0.000,78.830,0.000,0.000,0.000,0.000,78.830
2024-06-11,4,179.750,-69.910,0.000,109.840,0.000,0.000,0.000,0.000,109.840
2024-06-12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-06-13,3,87.850,-50.390,0.000,37.460,0.000,0.000,0.000,2.000,39.460
2024-06-14,3,114.800,-47.410,0.000,67.390,0.000,0.000,0.000,0.000,67.390
2024-06-15,3,79.800,-39.880,0.000,39.920,0.000,0.000,0.000,0.000,39.920
2024-06-16,5,215.750,-78.910,0.000,136.840,0.000,0.000,0.000,0.000,136.840
2024-06-17,4,194.800,-47.410,0.000,147.390,0.000,0.000,0.000,0.000,147.390
2024-06-18,1,19.950,0.000,-99.950,-80.000,0.000,0.000,0.000,0.000,-80.000
2024-06-19,3,87.850,-19.940,0.000,67.910,0.000,0.000,0.000,0.000,67.910
2024-06-20,3,87.850,-35.940,0.000,51.910,0.000,0.000,0.000,0.000,51.910
2024-06-21,4,129.750,-64.850,0.000,64.900,0.000,0.000,0.000,0.000,64.900
2024-06-22,1,19.950,-9.970,0.000,9.980,0.000,0.000,0.000,0.000,9.980
2024-06-23,3,94.800,-47.380,0.000,47.420,0.000,0.000,0.000,0.000,47.420
2024-06-24,1,19.950,-9.970,99.950,109.930,0.000,0.000,0.000,0.000,109.930
2024-06-25,2,54.900,-27.440,0.000,27.460,0.000,0.000,0.000,0.000,27.460
2024-06-26,7,127.680,-23.940,0.000,103.740,0.000,0.000,0.000,0.000,103.740
2024-06-27,3,51.870,-7.980,0.000,43.890,0.000,0.000,0.000,0.000,43.890
2024-06-28,8,241.570,-7.980,0.000,233.590,0.000,0.000,0.000,0.000,233.590
2024-06-29,5,107.730,-23.940,0.000,83.790,0.000,0.000,0.000,1.450,85.240
2024-06-30,5,91.770,-15.960,0.000,75.810,0.000,0.000,0.000,0.000,75.810
2024-07-01,8,327.600,-115.920,0.000,211.680,0.000,0.000,0.000,0.000,211.680
2024-07-02,5,119.700,-39.900,0.000,79.800,0.000,0.000,0.000,0.000,79.800
2024-07-03,5,149.720,-25.930,0.000,123.790,0.000,0.000,0.000,0.000,123.790
2024-07-04,11,271.420,-95.780,0.000,175.640,0.000,0.000,0.000,0.000,175.640
2024-07-05,8,215.560,-77.830,0.000,137.730,0.000,0.000,0.000,0.720,138.450
2024-07-06,10,310.360,-87.770,0.000,222.590,0.000,0.000,0.000,0.000,222.590
2024-07-07,5,224.750,-102.380,0.000,122.370,0.000,0.000,0.000,0.000,122.370
2024-07-08,12,351.360,-137.700,0.000,213.660,0.000,0.000,0.000,0.000,213.660
2024-07-09,11,227.470,-83.780,0.000,143.690,0.000,0.000,0.000,0.000,143.690
2024-07-10,7,163.630,-53.870,0.000,109.760,0.000,0.000,0.000,0.720,110.480
2024-07-11,7,213.560,-67.830,0.000,145.730,0.000,0.000,0.000,0.000,145.730
2024-07-12,21,602.840,-283.370,0.000,319.470,0.000,0.000,0.000,1.400,320.870
2024-07-13,13,409.220,-153.280,0.000,255.940,0.000,0.000,0.000,0.000,255.940
2024-07-14,6,107.730,-43.880,0.000,63.850,0.000,0.000,0.000,0.540,64.390
2024-07-15,8,385.560,-182.770,0.000,202.790,0.000,0.000,0.000,1.440,204.230
2024-07-16,5,115.710,-37.890,0.000,77.820,0.000,0.000,0.000,0.000,77.820
2024-07-17,12,282.380,-93.730,0.000,188.650,0.000,0.000,0.000,1.440,190.090
2024-07-18,9,219.550,-91.800,0.000,127.750,0.000,0.000,0.000,1.350,129.100
2024-07-19,5,119.770,-12.960,0.000,106.810,0.000,0.000,0.000,0.000,106.810
2024-07-20,6,175.720,-22.950,0.000,152.770,0.000,0.000,0.000,0.000,152.770
2024-07-21,3,94.800,-4.980,0.000,89.820,0.000,0.000,0.000,0.000,89.820
2024-07-22,2,35.910,-4.980,0.000,30.930,0.000,0.000,0.000,0.000,30.930
2024-07-23,9,287.330,-125.660,0.000,161.670,0.000,0.000,0.000,0.000,161.670
2024-07-24,7,179.630,-81.830,0.000,97.800,0.000,0.000,0.000,0.000,97.800
2024-07-25,11,270.360,-109.690,0.000,160.670,0.000,0.000,0.000,0.000,160.670
2024-07-26,10,291.470,-115.780,0.000,175.690,0.000,0.000,0.000,0.000,175.690
2024-07-27,5,99.750,-25.930,0.000,73.820,0.000,0.000,0.000,0.000,73.820
2024-07-28,9,241.570,-59.850,0.000,181.720,0.000,0.000,0.000,0.000,181.720
2024-07-29,7,365.610,-164.820,0.000,200.790,0.000,0.000,0.000,0.000,200.790
2024-07-30,7,123.690,-45.870,0.000,77.820,0.000,0.000,0.000,0.000,77.820
2024-07-31,4,72.800,-42.860,0.000,29.940,0.000,0.000,0.000,0.000,29.940
2024-08-01,12,279.300,-123.640,0.000,155.660,0.000,0.000,0.000,0.000,155.660
2024-08-02,10,207.480,-105.700,0.000,101.780,0.000,0.000,0.000,0.000,101.780
2024-08-03,12,248.360,-104.690,0.000,143.670,0.000,0.000,0.000,0.670,144.340
2024-08-04,7,171.670,-67.860,0.000,103.810,0.000,0.000,0.000,0.000,103.810
2024-08-05,8,210.560,-87.770,0.000,122.790,0.000,0.000,0.000,0.720,123.510
2024-08-06,9,169.540,-79.750,0.000,89.790,0.000,0.000,0.000,0.540,90.330
2024-08-07,32,507.380,-405.570,0.000,101.810,0.000,0.000,0.000,0.000,101.810
2024-08-08,14,284.280,-106.650,0.000,177.630,0.000,0.000,0.000,0.000,177.630
2024-08-09,6,159.680,-69.850,0.000,89.830,0.000,0.000,0.000,0.000,89.830
2024-08-10,8,199.590,-79.830,0.000,119.760,0.000,0.000,0.000,0.000,119.760
2024-08-11,16,393.280,-167.660,0.000,225.620,0.000,0.000,0.000,0.580,226.200
2024-08-12,9,235.540,-91.810,0.000,143.730,0.000,0.000,0.000,0.000,143.730
2024-08-13,11,223.440,-111.680,0.000,111.760,0.000,0.000,0.000,0.690,112.450
2024-08-14,13,313.340,-85.770,0.000,227.570,0.000,0.000,0.000,1.080,228.650
2024-08-15,12,219.450,-81.770,0.000,137.680,0.000,0.000,0.000,0.580,138.260
2024-08-16,19,666.410,-422.940,0.000,243.470,0.000,0.000,0.000,0.000,243.470
2024-08-17,15,460.190,-192.160,0.000,268.030,0.000,0.000,0.000,1.620,269.650
2024-08-18,17,419.070,-161.610,0.000,257.460,0.000,0.000,0.000,0.000,257.460
2024-08-19,10,257.470,-75.780,0.000,181.690,0.000,0.000,0.000,0.000,181.690
2024-08-20,8,167.580,-85.770,-19.950,61.860,0.000,0.000,0.000,0.000,61.860
2024-08-21,17,403.090,-191.500,0.000,211.590,0.000,0.000,0.000,0.000,211.590
2024-08-22,14,507.070,-323.420,0.000,183.650,0.000,0.000,0.000,0.000,183.650
2024-08-23,7,119.700,-35.900,0.000,83.800,0.000,0.000,0.000,0.000,83.800
